Item ID #,Supplier Stock Ref.,Cut,Carat,Color,Natural Fancy Color,Natural Fancy Color Intensity,Natural Fancy Color Overtone,Treated Color,Clarity,Cut Grade,Grading Lab,Certificate Number,Certificate Path,Image Path,Online Report,Video URL,3DViewer URL,Price Per Carat,Total Price,% Off IDEX List,Polish,Symmetry,Measurements Length,Measurements Width,Measurements Height,Depth,Table,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Girdle From,Girdle To,Culet Size,Culet Condition,Graining,Fluorescence Intensity,Fluorescence Color,Enhancement,Country,State / Region,Pair Stock Ref.,Asking Price For Pair,Shade,Milky,Black Inclusion,Eye Clean,Provenance Report,Provenance Number,Brand,Guaranteed Availability,
123491676,MS336945,Oval,1.000,,Black,Fancy,,,SI1,,EGL Other,US51929957D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336945_US51929957D.jpg,,,,,250,250.00,,,,6.22,5.63,3.07,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491677,MS336946,Oval,1.100,,Black,Fancy,,,VS1,,EGL Other,US51930139D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336946_US51930139D.jpg,,,,,300,330.00,,,,6.82,5.9,3.02,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491680,MS336950,Oval,1.320,,Black,Fancy,,,VS1,,EGL Other,US51929978D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336950_US51929978D.jpg,,,,,300,396.00,,,,7.5,5.55,3.41,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491681,MS336952,Oval,2.180,,Black,Fancy,,,SI1,,EGL Other,US51929981D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336952_US51929981D.jpg,,,,,250,545.00,,,,8.89,7.57,3.66,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491682,MS336974,Princess,1.400,,Black,Fancy,,,SI1,,EGL Other,US51930104D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336974_US51930104D.jpg,,,,,250,350.00,,,,5.49,5.27,4.68,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491683,MS336983,Princess,1.530,,Black,Fancy,,,SI1,,EGL Other,US51930168D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336983_US51930168D.jpg,,,,,250,382.50,,,,5.86,5.28,4.91,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491684,MS336996,Princess,1.740,,Black,Fancy,,,SI1,,EGL Other,US51930103D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336996_US51930103D.jpg,,,,,250,435.00,,,,5.78,5.76,5.17,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491685,MS337000,Princess,1.830,,Black,Fancy,,,SI1,,EGL Other,US51930161D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS337000_US51930161D.jpg,,,,,250,457.50,,,,6.14,5.84,5.25,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491686,MS337001,Princess,1.840,,Black,Fancy,,,SI1,,EGL Other,US51930170D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS337001_US51930170D.jpg,,,,,250,460.00,,,,5.8,5.73,5.51,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491687,MS337007,Pear,1.100,,Black,Fancy,,,SI1,,EGL Other,US51930143D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS337007_US51930143D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5750497-337007_large_alt_1000.jpg,https://www.youtube.com/embed/j8DVowU6EjU,,,300,330.00,,,,7.15,6.15,3.05,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491690,MS337012,Pear,1.840,,Black,Fancy,,,SI1,,EGL Other,US51930241D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS337012_US51930241D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS337012.jpg,,,,250,460.00,,,,7.85,6.75,3.95,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491837,MS370921,Round,2.210,,Black,Fancy,,,SI1,,EGL Other,US53880767D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/US53880767D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5772982-370919_large-(1).jpg,,,,250,552.50,,,,7.51,7.32,6.03,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491840,MS370935,Round,2.180,,Black,Fancy,,,SI1,,EGL Other,US53880788D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/US53880788D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5772981-370919_large-(4).jpg,,,,250,545.00,,,,7.7,7.62,5.73,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491841,MS370937,Round,2.340,,Black,Fancy,,,SI1,,EGL Other,US53880794D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370937_US53880794D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS370937.jpg,,,,250,585.00,,,,7.62,7.55,6.14,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491842,MS370938,Round,7.090,,Black,Fancy,,,SI1,,EGL Other,US53880799D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370938_US53880799D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5750417-370938.jpg,https://www.youtube.com/embed/C9bc9uf9XIg,,,350,2481.50,,,,11.56,11.48,8.06,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491844,MS370942,Round,7.110,,Black,Fancy,,,SI1,,EGL Other,US53880807D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370942_US53880807D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS370942.jpg,,,,350,2488.50,,,,10.99,10.94,9.04,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491845,MS370948,Pear,4.080,,Black,Fancy,,,SI1,,EGL Other,US53880830D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370948_US53880830D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5750517-370948.jpg,,,,350,1428.00,,,,10.96,8.36,5.2,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491848,MS370958,Round,2.200,,Black,Fancy,,,SI1,,EGL Other,US53880727D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370958_US53880727D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5763729-370919_large-(3).jpg,,,,250,550.00,,,,7.68,7.44,5.61,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491849,MS370960,Princess,3.790,,Black,Fancy,,,SI1,,EGL Other,US53880745D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/370960.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS370960.jpg,,,,300,1137.00,,,,7.61,7.41,6.56,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491850,MS370965,Round,1.680,,Black,Fancy,,,SI1,,EGL Other,US53880740D,,,,,,250,420.00,,,,7.28,7.18,4.77,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
